Bra000001	DNAse I-like superfamily protein
Bra012942	Protein kinase superfamily protein
Bra012943	U-box domain-containing protein kinase family protein
Bra012944	U-box domain-containing protein kinase family protein
Bra012945	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Bra012946	small G protein family protein / RhoGAP family protein
Bra012947	stress-inducible protein, putative
Bra012948	Major facilitator superfamily protein
Bra012949	HSP20-like chaperones superfamily protein
Bra012950	autophagy 3 (APG3)
Bra012951	Uncharacterised conserved protein (UCP012943)
Bra012952	Leucine-rich repeat protein kinase family protein
Bra012953	C2H2-like zinc finger protein
Bra012954	No annotation found
Bra012955	Terpenoid cyclases/Protein prenyltransferases superfamily protein
Bra012956	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra012957	K-box region and MADS-box transcription factor family protein 
Bra012958	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra012959	atypical CYS  HIS rich thioredoxin 5
Bra012960	NAC domain containing protein 100
Bra012961	myb domain protein 28
Bra012962	D-ribulose-5-phosphate-3-epimerase
Bra012963	D-ribulose-5-phosphate-3-epimerase
Bra012964	CCT motif -containing response regulator protein
Bra012965	Pentatricopeptide repeat (PPR) superfamily protein
Bra012966	No annotation found
Bra012967	No annotation found
Bra012968	rRNA processing protein-related
Bra012969	Cytochrome c oxidase subunit Vc family protein
Bra012970	Flavin-binding monooxygenase family protein
Bra012971	Flavin-binding monooxygenase family protein
Bra012972	phytochrome-interacting factor7
Bra012973	Plant calmodulin-binding protein-related
Bra012974	glucuronidase 1
Bra012975	Leucine-rich repeat (LRR) family protein
Bra012976	Ankyrin repeat family protein
Bra012977	LYR family of Fe/S cluster biogenesis protein
Bra012978	soluble N-ethylmaleimide-sensitive factor adaptor protein 33
Bra012979	putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain
Bra012980	Ribosomal protein S19e family protein
Bra012981	plasmodesmata callose-binding protein 1
Bra012982	No annotation found
Bra012983	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Bra012984	histone deacetylase 5
Bra012985	No annotation found
Bra012986	glycine-rich RNA-binding protein 3
Bra012987	exocyst subunit exo70 family protein E2
Bra012988	DEA(D/H)-box RNA helicase family protein
Bra012989	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain
Bra012990	TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 5
Bra012991	histone-lysine N-methyltransferases
Bra012992	Pentatricopeptide repeat (PPR) superfamily protein
Bra012993	COBRA-like protein 5 precursor
Bra012994	Transducin/WD40 repeat-like superfamily protein
Bra012995	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra012996	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family
Bra012997	AGAMOUS-like 8
Bra012998	cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Bra012999	receptor-like protein kinase 1
Bra013000	myb domain protein 34
Bra013001	breaking of asymmetry in the stomatal lineage
Bra013002	Regulator of chromosome condensation (RCC1) family protein
Bra013003	OBF binding protein 4
Bra013004	No annotation found
Bra013005	basic leucine-zipper 70
Bra013006	RING/U-box superfamily protein
Bra013007	methylthioalkylmalate synthase 1
Bra013008	zinc ion binding
Bra013009	methylthioalkylmalate synthase 1
Bra013010	tetraspanin12
Bra013011	methylthioalkylmalate synthase 1
Bra013012	acyl-activating enzyme 17
Bra013013	calcium sensing receptor
Bra013014	Thymidine kinase
Bra013015	SWAP (Suppressor-of-White-APricot)/surp domain-containing protein
Bra013016	Protein of unknown function, DUF617
Bra013017	Zinc finger, C3HC4 type (RING finger) family protein
Bra013018	photosystem II stability/assembly factor, chloroplast (HCF136)
Bra013019	Peptidoglycan-binding LysM domain-containing protein
Bra013020	nuclear-encoded CLP protease P7
Bra013021	No annotation found
Bra013022	Tudor/PWWP/MBT domain-containing protein
Bra013023	Protein kinase superfamily protein
Bra013024	cytochrome P450, family 86, subfamily B, polypeptide 1
Bra013025	No annotation found
Bra013026	DNAJ heat shock N-terminal domain-containing protein
Bra013027	Succinyl-CoA ligase, alpha subunit
Bra013028	K-box region and MADS-box transcription factor family protein 
Bra013029	sugar transporter 11
Bra013030	Protein kinase protein with tetratricopeptide repeat domain
Bra013031	Arabidopsis protein of unknown function (DUF241)
Bra013032	Arabidopsis protein of unknown function (DUF241)
Bra013033	No annotation found
Bra013034	NAC domain containing protein 36
Bra013035	pentatricopeptide (PPR) repeat-containing protein
Bra013036	Mechanosensitive ion channel family protein
Bra013037	Major facilitator superfamily protein
Bra013038	transportin 1
Bra013039	No annotation found
Bra013040	ubiquitin-conjugating enzyme 23
Bra013041	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra013042	Arabidopsis phospholipase-like protein (PEARLI 4) family
Bra013043	UDP-Glycosyltransferase superfamily protein
Bra013044	No annotation found
Bra013045	Heat shock protein 70 (Hsp 70) family protein
Bra013046	heat shock cognate protein 70-1
Bra013047	No annotation found
Bra013048	Basic-leucine zipper (bZIP) transcription factor family protein
Bra013049	ubiquitin-conjugating enzyme 29
Bra013050	RAC-like 3
Bra013051	RAC-like 3
Bra013052	glycosyl hydrolase family 35 protein
Bra013053	ascorbate peroxidase 3
Bra013054	SNF7 family protein
Bra013055	myb domain protein 7
Bra013056	No annotation found
Bra013057	Iron-sulphur cluster biosynthesis family protein
Bra013058	actin depolymerizing factor 5
Bra013059	Major facilitator superfamily protein
Bra013060	Nucleic acid-binding, OB-fold-like protein
Bra013061	SAUR-like auxin-responsive protein family 
Bra013062	No annotation found
Bra013063	Eukaryotic aspartyl protease family protein
Bra013064	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
Bra013065	3-oxo-5-alpha-steroid 4-dehydrogenase family protein
Bra013066	vacuolar-type H(+)-ATPase C3
Bra013067	No annotation found
Bra013068	Minichromosome maintenance (MCM2/3/5) family protein
Bra013069	purple acid phosphatase 10
Bra013070	HXXXD-type acyl-transferase family protein
Bra013071	purple acid phosphatase 10
Bra013072	purple acid phosphatase 10
Bra013073	No annotation found
Bra013074	Nucleic acid-binding, OB-fold-like protein
Bra013075	BEL1-like homeodomain 7
Bra013076	BEL1-like homeodomain 7
Bra013077	SNF2 domain-containing protein / helicase domain-containing protein
Bra013078	No annotation found
Bra013079	thymidylate synthase 1
Bra013080	F-box family protein
Bra013081	3-ketoacyl-CoA synthase 18
Bra013082	cell division cycle 48C
Bra013083	Leucine-rich repeat protein kinase family protein
Bra013084	F-box/RNI-like/FBD-like domains-containing protein
Bra013085	plastid division2
Bra013086	Auxin-responsive GH3 family protein
Bra013087	cold regulated 413 plasma membrane 1
Bra013088	No annotation found
Bra013089	CSL zinc finger domain-containing protein
Bra013090	CSL zinc finger domain-containing protein
Bra013091	maternal effect embryo arrest 14
Bra013092	Leucine-rich repeat (LRR) family protein
Bra013093	Ubiquitin carboxyl-terminal hydrolase family protein
Bra013094	No annotation found
Bra013095	No annotation found
Bra013096	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013097	No annotation found
Bra013098	Protein of unknown function DUF829, transmembrane 53
Bra013099	No annotation found
Bra013100	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013101	low-molecular-weight cysteine-rich 61
Bra013102	RING/U-box superfamily protein
Bra013103	RING/U-box superfamily protein
Bra013104	poly(A) binding protein 2
Bra013105	UDP-glucosyl transferase 73B5
Bra013106	F-box/RNI-like/FBD-like domains-containing protein
Bra013107	Protein of unknown function (DUF579)
Bra013108	Nucleoside diphosphate kinase family protein
Bra013109	Disease resistance-responsive (dirigent-like protein) family protein
Bra013110	RING/U-box superfamily protein
Bra013111	Plant basic secretory protein (BSP) family protein
Bra013112	receptor like protein 19
Bra013113	No annotation found
Bra013114	No annotation found
Bra013115	Gibberellin-regulated family protein
Bra013116	arabinogalactan protein 9
Bra013117	No annotation found
Bra013118	RING/U-box superfamily protein
Bra013119	receptor like protein 43
Bra013120	APS kinase
Bra013121	vaculolar sorting receptor 3
Bra013122	Inositol 1,3,4-trisphosphate 5/6-kinase family protein
Bra013123	basic pathogenesis-related protein 1
Bra013124	basic pathogenesis-related protein 1
Bra013125	TRICHOME BIREFRINGENCE-LIKE 13
Bra013126	CBS domain-containing protein with a domain of unknown function (DUF21)
Bra013127	proline iminopeptidase
Bra013128	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra013129	No annotation found
Bra013130	cytochrome P450, family 705, subfamily A, polypeptide 22
Bra013131	minichromosome maintenance 9
Bra013132	No annotation found
Bra013133	Polymerase/histidinol phosphatase-like
Bra013134	Disease resistance protein (CC-NBS-LRR class) family
Bra013135	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bra013136	somatic embryogenesis receptor-like kinase 4
Bra013137	AGD2-like defense response protein 1
Bra013138	AGD2-like defense response protein 1
Bra013139	mitogen-activated protein kinase kinase kinase 3
Bra013140	No annotation found
Bra013141	ABC-2 type transporter family protein
Bra013142	Pentatricopeptide repeat (PPR) superfamily protein
Bra013143	nuclear factor Y, subunit B7
Bra013144	Disease resistance protein (TIR-NBS-LRR class) family
Bra013145	ARM repeat superfamily protein
Bra013146	glucose-inhibited division family A protein
Bra013147	Calcium-dependent lipid-binding (CaLB domain) family protein
Bra013148	alanine:glyoxylate aminotransferase
Bra013149	PLATZ transcription factor family protein
Bra013150	ubiquitin-associated (UBA)/TS-N domain-containing protein
Bra013151	No annotation found
Bra013152	serine carboxypeptidase-like 42
Bra013153	No annotation found
Bra013154	No annotation found
Bra013155	No annotation found
Bra013156	adenylate cyclases
Bra013157	20S proteasome subunit PAA2
Bra013158	calmodulin-binding receptor-like cytoplasmic kinase 3
Bra013159	NAD(P)-binding Rossmann-fold superfamily protein
Bra013160	NAD(P)-binding Rossmann-fold superfamily protein
Bra013161	oxophytodienoate-reductase 3
Bra013162	binding
Bra013163	SNF7 family protein
Bra013164	xyloglucan endotransglucosylase/hydrolase 4
Bra013165	No annotation found
Bra013166	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Bra013167	cycloartenol synthase 1
Bra013168	H(+)-ATPase 6
Bra013169	Minichromosome maintenance (MCM2/3/5) family protein
Bra013170	Xanthine/uracil permease family protein
Bra013171	Nodulin MtN21 /EamA-like transporter family protein
Bra013172	Ubiquitin-like superfamily protein
Bra013173	proton gradient regulation 5
Bra013174	TLD-domain containing nucleolar protein
Bra013175	Glycine-rich protein family
Bra013176	glycine-rich protein 3
Bra013177	No annotation found
Bra013178	beta-1,2-N-acetylglucosaminyltransferase II
Bra013179	DNAJ heat shock N-terminal domain-containing protein
Bra013180	F-box and associated interaction domains-containing protein
Bra013181	CCCH-type zinc fingerfamily protein with RNA-binding domain
Bra013182	Nucleoporin, Nup133/Nup155-like
Bra013183	photosystem II light harvesting complex gene 2.1
Bra013184	Regulator of Vps4 activity in the MVB pathway protein
Bra013185	scramblase-related
Bra013186	histidine kinase 2
Bra013187	zinc-dependent activator protein-1
Bra013188	Folylpolyglutamate synthetase family protein
Bra013189	Aminotransferase-like, plant mobile domain family protein
Bra013190	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013191	Auxin-responsive family protein
Bra013192	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Bra013193	threonyl-tRNA synthetase, putative / threonine--tRNA ligase, putative
Bra013194	No annotation found
Bra013195	F-box associated ubiquitination effector family protein
Bra013196	No annotation found
Bra013197	FASCICLIN-like arabinoogalactan 7
Bra013198	ankyrin repeat family protein
Bra013199	cysteine-rich RLK (RECEPTOR-like protein kinase) 14
Bra013200	GDSL-like Lipase/Acylhydrolase superfamily protein
Bra013201	indole-3-butyric acid response 5
Bra013202	Beta-ketoacyl synthase
Bra013203	Metallo-hydrolase/oxidoreductase superfamily protein
Bra013204	Nucleic acid-binding, OB-fold-like protein
Bra013205	No annotation found
Bra013206	dehydrin family protein
Bra013207	Mitochondrial transcription termination factor family protein
Bra013208	RPM1-interacting protein 4 (RIN4) family protein
Bra013209	Aldolase-type TIM barrel family protein
Bra013210	AMP-dependent synthetase and ligase family protein
Bra013211	RING/U-box superfamily protein
Bra013212	Subtilisin-like serine endopeptidase family protein
Bra013213	Disease resistance protein (CC-NBS-LRR class) family
Bra013214	MATE efflux family protein
Bra013215	ribosomal protein L5
Bra013216	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013217	formin homology 1
Bra013218	Rhodanese/Cell cycle control phosphatase superfamily protein
Bra013219	bacterial hemolysin-related
Bra013220	F-box and associated interaction domains-containing protein
Bra013221	Major facilitator superfamily protein
Bra013222	Major facilitator superfamily protein
Bra013223	Protein of unknown function (DUF506) 
Bra013224	rotamase FKBP 1
Bra013225	FK506-binding protein 15 kD-1
Bra013226	Vacuolar iron transporter (VIT) family protein
Bra013227	cytochrome P450, family 82, subfamily G, polypeptide 1
Bra013228	ER lumen protein retaining receptor family protein
Bra013229	Nucleotide-diphospho-sugar transferases superfamily protein
Bra013230	fatA acyl-ACP thioesterase
Bra013231	Cytochrome c oxidase, subunit III
Bra013232	cell division cycle 45
Bra013233	RPM1 interacting protein 4
Bra013234	beta glucosidase 2
Bra013235	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013236	Cystathionine beta-synthase (CBS) protein
Bra013237	endoplasmic reticulum retention defective 2B
Bra013238	Helicase/SANT-associated, DNA binding protein
Bra013239	Ribosomal protein L13 family protein
Bra013240	Cyclin-dependent kinase inhibitor family protein
Bra013241	proteolysis 1
Bra013242	CLAVATA3/ESR-RELATED 41
Bra013243	CLAVATA3/ESR-RELATED 41
Bra013244	mRNA splicing factor, thioredoxin-like U5 snRNP
Bra013245	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Bra013246	soluble N-ethylmaleimide-sensitive factor adaptor protein 33
Bra013247	transmembrane kinase-like 1
Bra013248	AP2/B3-like transcriptional factor family protein
Bra013249	RHO guanyl-nucleotide exchange factor 8
Bra013250	Protein of unknown function (DUF502)
Bra013251	Plant self-incompatibility protein S1 family
Bra013252	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Bra013253	heat shock transcription factor  C1
Bra013254	Structural maintenance of chromosomes (SMC) family protein
Bra013255	ubiquitin-conjugating enzyme 37
Bra013256	ubiquitin-conjugating enzyme 37
Bra013257	C2H2 and C2HC zinc fingers superfamily protein
Bra013258	Peptidase M20/M25/M40 family protein
Bra013259	No annotation found
Bra013260	No annotation found
Bra013261	No annotation found
Bra013262	Polyketide cyclase/dehydrase and lipid transport superfamily protein
Bra013263	Basic helix-loop-helix (bHLH) DNA-binding family protein
Bra013264	Basic helix-loop-helix (bHLH) DNA-binding family protein
Bra013265	ARF-GAP domain 8
Bra013266	PLATZ transcription factor family protein
Bra013267	RING/U-box superfamily protein
Bra013268	RING/U-box superfamily protein
Bra013269	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013270	AT hook motif DNA-binding family protein
Bra013271	No annotation found
Bra013272	NAC domain containing protein 71
Bra013273	No annotation found
Bra013274	BR-signaling kinase 2
Bra013275	myo-inositol polyphosphate 5-phosphatase 2
Bra013276	No annotation found
Bra013277_Bra013278_Bra013279	CheY-like two-component responsive regulator family protein
Bra013280	No annotation found
Bra013281	Leucine-rich repeat protein kinase family protein
Bra013282	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra013283	eukaryotic translation initiation factor 4E
Bra013284	Ribosomal protein L32e
Bra013285	MEI2-like 3
Bra013286	phytochrome E
Bra013287	Kinase-related protein of unknown function (DUF1296)
Bra013288	Ca2+ activated outward rectifying K+ channel 6
Bra013289	WRKY DNA-binding protein 28
Bra013290	purine permease 6
Bra013291	Nucleotide-sugar transporter family protein
Bra013292	purine permease 10
Bra013293	No annotation found
Bra013294	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra013295	receptor serine/threonine kinase, putative
Bra013296	potassium channel in Arabidopsis thaliana 2
Bra013297	Glycosyl hydrolase superfamily protein
Bra013298	nine-cis-epoxycarotenoid dioxygenase 2
Bra013299	Aldolase-type TIM barrel family protein
Bra013300	DEGP protease 5
Bra013301	No annotation found
Bra013302	RNA-binding KH domain-containing protein
Bra013303	F-box family protein
Bra013304	TEOSINTE BRANCHED 1, cycloidea and PCF transcription factor 2
Bra013305	No annotation found
Bra013306	No annotation found
Bra013307	Protein of unknown function (DUF679)
Bra013308	RAB GTPase homolog A1E
Bra013309	L-Aspartase-like family protein
Bra013310	Integrase-type DNA-binding superfamily protein
Bra013311	negative regulator of systemic acquired resistance (SNI1)
Bra013312	D-Tyr-tRNA(Tyr) deacylase family protein
Bra013313	RNA helicase family protein
Bra013314	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013315	Rad21/Rec8-like family protein
Bra013316	Putative endonuclease or glycosyl hydrolase
Bra013317	AAA-type ATPase family protein
Bra013318	No annotation found
Bra013319	CLAVATA3/ESR-related 2
Bra013320	Protein of unknown function (DUF707)
Bra013321	No annotation found
Bra013322	alpha/beta-Hydrolases superfamily protein
Bra013323	No annotation found
Bra013324	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013325	No annotation found
Bra013326	Nucleic acid-binding, OB-fold-like protein
Bra013327	dual specificity protein phosphatase-related
Bra013328	Pollen Ole e 1 allergen and extensin family protein
Bra013329	SCAR family protein
Bra013330	Protein of unknown function (DUF640)
Bra013331	No annotation found
Bra013332	No annotation found
Bra013333	No annotation found
Bra013334	PYR1-like 13
Bra013335	Protein of unknown function (DUF688)
Bra013336	Leucine-rich repeat protein kinase family protein
Bra013337	transcription factor-related
Bra013338	delay of germination 1
Bra013339	Leucine-rich repeat (LRR) family protein
Bra013340	CBL-interacting protein kinase 12
Bra013341	Protein kinase superfamily protein
Bra013342	ribosomal protein L16B
Bra013343	Rho termination factor
Bra013344	Pentatricopeptide repeat (PPR) superfamily protein
Bra013345	receptor like protein 51
Bra013346	myb domain protein 98
Bra013347	F-box and associated interaction domains-containing protein
Bra013348	F-box and associated interaction domains-containing protein
Bra013349	RAB GTPase homolog A1D
Bra013350	F-box and associated interaction domains-containing protein
Bra013351	F-box and associated interaction domains-containing protein
Bra013352	NAD(P)-binding Rossmann-fold superfamily protein
Bra013353	AAA-type ATPase family protein
Bra013354	ovate family protein 5
Bra013355	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra013356	No annotation found
Bra013357	Disease resistance protein (TIR-NBS-LRR class) family
Bra013358	heat shock transcription factor  A4A
Bra013359	BES1/BZR1 homolog 3
Bra013360	Transducin/WD40 repeat-like superfamily protein
Bra013361	NOD26-like intrinsic protein 1;2
Bra013362	Protein of unknown function (DUF1264)
Bra013363	Integrin-linked protein kinase family
Bra013364	K-box region and MADS-box transcription factor family protein 
Bra013365	Pentatricopeptide repeat (PPR) superfamily protein
Bra013366	AtS40-3
Bra013367	xyloglucan endotransglucosylase/hydrolase 29
Bra013368	E2F/DP family winged-helix DNA-binding domain
Bra013369	AMP-dependent synthetase and ligase family protein
Bra013370	chromomethylase 2
Bra013371	ENHANCED DISEASE RESISTANCE 2
Bra013372	NB-ARC domain-containing disease resistance protein
Bra013373	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013374	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Bra013375	No annotation found
Bra013376	Ankyrin repeat family protein
Bra013377	No annotation found
Bra013378	nine-cis-epoxycarotenoid dioxygenase 4
Bra013379	GDA1/CD39 nucleoside phosphatase family protein
Bra013380	nodulin MtN21 /EamA-like transporter family protein
Bra013381	zinc knuckle (CCHC-type) family protein
Bra013382	proline-rich family protein
Bra013383	Transcription factor TFIIE, alpha subunit
Bra013384	Transcription initiation factor TFIIE, beta subunit
Bra013385	RNAse l inhibitor protein 2
Bra013386	cytochrome P450, family 707, subfamily A, polypeptide 1
Bra013387	embryo defective 3006
Bra013388	SCD6 protein-related
Bra013389	Galactose oxidase/kelch repeat superfamily protein
Bra013390	Protein of unknown function (DUF1218)
Bra013391	Long-chain fatty alcohol dehydrogenase family protein
Bra013392	Uncharacterised protein family (UPF0114)
Bra013393	Profilin family protein
Bra013394	Pectinacetylesterase family protein
Bra013395	Pectinacetylesterase family protein
Bra013396	No annotation found
Bra013397	Transducin/WD40 repeat-like superfamily protein
Bra013398	Major facilitator superfamily protein
Bra013399	UDP-Glycosyltransferase superfamily protein
Bra013400	nucleoside-triphosphatases;transmembrane receptors;nucleotide binding;ATP binding
Bra013401	IND1(iron-sulfur protein required for NADH dehydrogenase)-like
Bra013402	Cyclin family protein
Bra013403	DNAJ heat shock N-terminal domain-containing protein
Bra013404	Chaperone DnaJ-domain superfamily protein
Bra013405	nucleotide binding;nucleic acid binding;RNA binding
Bra013406	winged-helix DNA-binding transcription factor family protein
Bra013407	No annotation found
Bra013408	No annotation found
Bra013409	E2F/DP family winged-helix DNA-binding domain
Bra013410	Ras-related small GTP-binding family protein
Bra013411	TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
Bra013412	Winged helix-turn-helix transcription repressor DNA-binding
Bra013413	No annotation found
Bra013414	Mitochondrial transcription termination factor family protein
Bra013415	myb domain protein 4r1
Bra013416	NPR1-like protein 4
Bra013417	RING/U-box superfamily protein
Bra013418	iron regulated transporter 2
Bra013419	iron-regulated transporter 1
Bra013420	iron-regulated transporter 1
Bra013421	iron-regulated transporter 1
Bra013422	iron-regulated transporter 1
Bra013423	SBP (S-ribonuclease binding protein) family protein
Bra013424	No annotation found
Bra013425	aspartate kinase-homoserine dehydrogenase ii
Bra013426	Glycosyl hydrolase family protein with chitinase insertion domain
Bra013427	Major facilitator superfamily protein
Bra013428	phloem protein 2-A1
Bra013429	lectin-related
Bra013430	alpha/beta-Hydrolases superfamily protein
Bra013431	Pre-mRNA-processing-splicing factor
Bra013432	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra013433	K+ uptake permease 9
Bra013434	No annotation found
Bra013435	No annotation found
Bra013436	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Bra013437	FAR1-related sequence 1
Bra013438	VQ motif-containing protein
Bra013439	No annotation found
Bra013440	RNA-binding (RRM/RBD/RNP motifs) family protein
Bra013441	Pectin lyase-like superfamily protein
Bra013442	Pectin lyase-like superfamily protein
Bra013443	ARM repeat superfamily protein
Bra013444	Pentatricopeptide repeat (PPR) superfamily protein
Bra013445	VACUOLAR SORTING RECEPTOR 7
Bra013446	Leucine-rich repeat transmembrane protein kinase
Bra013447	No annotation found
Bra013448	No annotation found
Bra013449	cytochrome P450, family 71, subfamily A, polypeptide 15
Bra013450	plasma-membrane associated cation-binding protein 1
Bra013451	Leucine-rich receptor-like protein kinase family protein
Bra013452	TBP-associated factor 11
Bra013453	Protein of unknown function (DUF1639)
Bra013454	Peptidase M50 family protein
Bra013455	Nucleic acid-binding, OB-fold-like protein
Bra013456	CTP synthase family protein
Bra013457	No annotation found
Bra013458	RAB GTPase homolog E1B
Bra013459	SNF7 family protein
Bra013460	LSD1 zinc finger family protein
Bra013461	JUMONJI 14
Bra013462	gamma-soluble NSF attachment protein
Bra013463	Tapetum specific protein TAP35/TAP44
Bra013464	Subtilase family protein
Bra013465	Small nuclear ribonucleoprotein family protein
Bra013466	NAD(P)-binding Rossmann-fold superfamily protein
Bra013467	Pentatricopeptide repeat (PPR-like) superfamily protein
Bra013468	NAD(P)-binding Rossmann-fold superfamily protein
Bra013469	Pentatricopeptide repeat (PPR) superfamily protein
Bra013470	calmodulin like 42
Bra013471	Leucine-rich repeat protein kinase family protein
Bra013472_Bra013473	FAD-binding Berberine family protein
Bra013474	F-box/RNI-like/FBD-like domains-containing protein
Bra013475	FAD-binding Berberine family protein
Bra013476	FAD-binding Berberine family protein
Bra013477	tripeptidyl peptidase ii
Bra013478	FAD-binding Berberine family protein
Bra013479	fatty acid hydroxylase 2
Bra013480	ethylene-responsive nuclear protein / ethylene-regulated nuclear protein (ERT2)
Bra013481	tubulin beta-9 chain
Bra013482	double-stranded RNA binding protein-related / DsRBD protein-related
Bra013483	double-stranded RNA-binding domain (DsRBD)-containing protein
Bra013484	double-stranded RNA binding protein-related / DsRBD protein-related
Bra013485	Leucine-rich receptor-like protein kinase family protein
Bra013486	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra013487	alpha carbonic anhydrase 4
Bra013488	Galactose oxidase/kelch repeat superfamily protein
Bra013489	Late embryogenesis abundant protein (LEA) family protein
Bra013490	Dof-type zinc finger domain-containing protein
Bra013491	No annotation found
Bra013492	Dof-type zinc finger domain-containing protein
Bra013493	Dof-type zinc finger domain-containing protein
Bra013494	Dof-type zinc finger domain-containing protein
Bra013495	Galactosyltransferase family protein
Bra013496	Dof-type zinc finger domain-containing protein
Bra013497	No annotation found
Bra013498	Galactosyltransferase family protein
Bra013499	breast cancer susceptibility1
Bra013500	MITOCHONDRIAL  FERREDOXIN 2
Bra013501	FAD-binding Berberine family protein
Bra013502	G10 family protein
Bra013503	No annotation found
Bra013504	Insulinase (Peptidase family M16) family protein
Bra013505	cytochrome P450, family 96, subfamily A, polypeptide 8
Bra013506	phosphatidylserine decarboxylase 1
Bra013507	ribophorin II (RPN2) family protein
Bra013508	Calcium-dependent ARF-type GTPase activating protein family
Bra013509	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013510	DnaJ / Sec63 Brl domains-containing protein
Bra013511	Pentatricopeptide repeat (PPR) superfamily protein
Bra013512	gibberellin 2-oxidase 8
Bra013513	PPDK regulatory protein
Bra013514	No annotation found
Bra013515	cysteine-rich RLK (RECEPTOR-like protein kinase) 27
Bra013516	Sulfite exporter TauE/SafE family protein
Bra013517	photosystem II subunit QA
Bra013518	Tetratricopeptide repeat (TPR)-like superfamily protein
Bra013519	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra013520	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Bra013521	plant U-box 8
Bra013522	receptor kinase 3
Bra013523	S-locus lectin protein kinase family protein
Bra013524	cysteine-rich RLK (RECEPTOR-like protein kinase) 29
Bra013525	Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase
Bra013526	MYB-like 102
Bra013527	No annotation found
Bra013528	PapD-like superfamily protein
Bra013529	sugar transporter protein 12
Bra013530	No annotation found
Bra013531	UDP-D-glucuronate 4-epimerase 1
Bra013532	F-box family protein
Bra013533	Transducin/WD40 repeat-like superfamily protein
Bra013534	Transducin/WD40 repeat-like superfamily protein
Bra013535	VP1/ABI3-like 3
Bra013536	Vacuolar protein sorting-associated protein VPS28 family protein
Bra013537	Protein of unknown function (DUF300)
Bra013538	F-box and associated interaction domains-containing protein
Bra013539	BCL-2-associated athanogene 7
Bra013540	oxidoreductase, zinc-binding dehydrogenase family protein
Bra013541	endonuclease 4
Bra013542	endonuclease 5
Bra013543	F-box and associated interaction domains-containing protein
Bra013544	Subtilase family protein
Bra013545	proline-rich spliceosome-associated (PSP) family protein
Bra013546	C-terminal domain phosphatase-like 1
Bra013547	NITRATE TRANSPORTER 1.8
Bra013548	No annotation found
Bra013549	Protein of unknown function (DUF2921)
Bra013550	DNA-directed RNA polymerase family protein
Bra013551	No annotation found
Bra013552	No annotation found
Bra013553	potassium transporter 1
Bra013554	Galactose oxidase/kelch repeat superfamily protein
Bra013555	ROP-interactive CRIB motif-containing protein 10
Bra013556	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Bra013557	beta-glucosidase 47
Bra013558	Pseudouridine synthase family protein
Bra013559	No annotation found
Bra013560	tobamovirus multiplication 1
Bra013561	tobamovirus multiplication 1
Bra013562	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Bra013563	DERLIN-2.1
Bra013564	binding;calmodulin binding
Bra013565	methionine sulfoxide reductase B 2
Bra013566	HSP20-like chaperones superfamily protein
Bra013567	Pentatricopeptide repeat (PPR) superfamily protein
Bra013568	No annotation found
Bra013569	DNA binding
Bra013570	DNA binding
